site,protocol,latitude,longitude,downloads
Barro Colorado Nature Monument - Soberania National Park,Climate,9.152102,-79.84648,17
Bukit Barisan,Climate,-5.25,104.166667,49
Bwindi Impenetrable Forest,Climate,-1.080556,29.661389,43
Caxiuanã,Climate,-1.729167,-51.473611,130
Central Suriname Nature Reserve,Climate,4.73752,-56.187794,40
Cocha Cashu - Manu National Park,Climate,-11.856389,-71.721389,22
Korup National Park,Climate,5.07389,8.85472,19
Manaus,Climate,-2.929058,-59.976408,85
Nam Kading,Climate,18.316667,104,36
Nouabalé Ndoki,Climate,2.518805,16.595078,30
Pasoh Forest Reserve,Climate,2.982,102.313,22
Ranomafana,Climate,-21.1333,47.4167,42
Udzungwa,Climate,-7.8425,36.891483,64
Volcán Barva,Climate,10.3028,-84.0338,185
Yanachaga Chimillén National Park,Climate,-10.493524,-75.201229,25
Yasuni,Climate,-0.671306,-76.4005,14
