site,latitude,longitude,Climate downloads,Terrestrial Vertebrate downloads,Vegetation downloads,GIS downloads
Barro Colorado Nature Monument - Soberania National Park,9.152102,-79.8465,17,124,55,21
Bukit Barisan,-5.25,104.1667,49,181,101,14
Bwindi Impenetrable Forest,-1.08056,29.66139,43,118,89,13
Caxiuanã,-1.72917,-51.4736,130,205,313,10
Central Suriname Nature Reserve,4.73752,-56.1878,40,128,90,12
Cocha Cashu - Manu National Park,-11.8564,-71.7214,22,118,57,10
Korup National Park,5.07389,8.85472,19,83,73,8
Manaus,-2.92906,-59.9764,85,169,292,10
Nam Kading,18.31667,104,36,117,91,11
Nouabalé Ndoki,2.518805,16.59508,30,112,88,10
Pasoh Forest Reserve,2.982,102.313,22,56,57,15
Ranomafana,-21.1333,47.4167,42,87,98,11
Udzungwa,-7.8425,36.89148,64,192,105,9
Volcán Barva,10.3028,-84.0338,185,336,348,12
Yanachaga Chimillén National Park,-10.4935,-75.2012,25,87,61,12
Yasuni,-0.67131,-76.4005,14,124,42,14
